NAME,INVESTOR TYPE,PREFERED STARTUP STAGES,FOCUS INDUSTRIES,FOCUS SECTOR,SERVICE AREAS,INVESTMENT RANGE,LOCATION
MANISH KHURANA,Private Company,"EarlyTraction, Scaling",Others,Others,Others,50 Lacs - 2 Crore INR,"Noida, Uttar Pradesh"
MAYANK,,"Ideation, Validation, EarlyTraction, Scaling",Advertising,"AdTech, Online Classified, Others",Hyperlocal,25 Lacs - 50 Lacs INR,"Chandigarh, Chandigarh"
IN44 CAPITAL,Angel Group,"EarlyTraction, Scaling","Analytics, Advertising, AR VR (Augmented + Virtual Reality), Automotive, Chemicals, Computer Vision, Telecommunication & Networking, Construction, Agriculture, Aeronautics Aerospace & Defence, AI, Green Technology, Finance Technology, Enterprise Software, Renewable Energy, Technology Hardware, Healthcare & Lifesciences, Internet of Things, Human Resources, Marketing, Nanotechnology, Media & Entertainment, Transportation & Storage, Logistics, Safety, Robotics, Biotechnology, Waste Management,","Big Data, Business Intelligence, Data Science, Others, AdTech, Online Classified, Others, Others, Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Agricultural Chemicals, Commodity Chemicals, Diversified Chemicals, Others, Specialty Chemicals, Others, Integrated communication services, Network Technology Solutions, Others, Wireless, Construction & Engineering, Construction Materials, Construction Supplies & Fixtures, Homebuilding, New-age Construction Technologies, Others, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Internships, Others, Recruitment Jobs, Skills Assessment, Talent Management, Training, Branding, Digital Marketing (SEO Automation), Discovery, Loyalty, Market Research, Others, Sales, Others, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure, Others, Others, Personal Security, Others, Robotics Application, Robotics Technology","Research, SaaS, Subscription Commerce,",50 Lacs - 2 Crore INR,"Chennai, Tamil Nadu"
INDIVIDUALINVESTOR01,,Ideation,Analytics,"Big Data, Business Intelligence, Data Science",Governments,0 - 25 Lacs INR,"Baksa, Assam"
PULKIT DAK,Venture Capital,"Validation, EarlyTraction, Scaling","Analytics, AR VR (Augmented + Virtual Reality), Computer Vision, Telecommunication & Networking, Aeronautics Aerospace & Defence, AI, Green Technology, Finance Technology, Enterprise Software, Renewable Energy, Technology Hardware, Healthcare & Lifesciences, Internet of Things, Human Resources, Marketing, Nanotechnology, Non- Renewable Energy, Retail, Social Impact, Logistics, Other Specialty Retailers, Safety, Robotics, Biotechnology, Waste Management","Big Data, Business Intelligence, Data Science, Others, Others, Others, Integrated communication services, Network Technology Solutions, Others, Wireless, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Internships, Others, Recruitment Jobs, Skills Assessment, Talent Management, Training, Branding, Digital Marketing (SEO Automation), Discovery, Loyalty, Market Research, Others, Sales, Others, Oil & Gas Drilling, Oil & Gas Exploration and Production, Oil & Gas Transportation Services, Oil Related Services and Equipment, Others, Comparison Shopping, Others, Retail Technology, Social Commerce, Corporate Social Responsibility, NGO, Others, Others, Auto Vehicles, Parts & Service Retailers, Computer & Electronics Retailers, Home Furnishings Retailers, Home Improvement Products & Services Retailers, Others, Others, Personal Security, Others, Robotics Application, Robotics Technology","Platform, Research, SaaS",5 Crore + INR,"Hyderabad, Telangana"
MR RAJESH RAVEENDRAN,Angel Group,"Ideation, Validation, EarlyTraction, Scaling","Telecommunication & Networking, AI, Finance Technology, Enterprise Software, Technology Hardware, IT Services","Integrated communication services, Network Technology Solutions, Others, Wireless, Machine Learning, NLP, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Application Development, BPO, IT Consulting, IT Management, KPO, Others, Product Development, Project Management, Testing, Web Development","Manufacturing, Marketplace, Online Aggregator, Platform, SaaS",50 Lacs - 2 Crore INR,"Chennai, Tamil Nadu"
IN44 CAPITAL,Angel Group,"Validation, EarlyTraction","AR VR (Augmented + Virtual Reality), Computer Vision, Agriculture, Aeronautics Aerospace & Defence, AI, Green Technology, Finance Technology, Enterprise Software, Technology Hardware, Internet of Things, Robotics, Waste Management","Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Manufacturing & Warehouse, Others, Smart Home, Wearables, Others, Robotics Application, Robotics Technology","Engineering, Enterprise Mobility, Manufacturing, Platform, SaaS",50 Lacs - 2 Crore INR,"Chennai, Tamil Nadu"
VENTANA VENTURES FUND,Venture Capital,"Validation, EarlyTraction, Scaling",Toys and Games,Virtual games,"Discovery, Mobile, Subscription Commerce",50 Lacs - 2 Crore INR,"Udupi, Karnataka"
UPSPARKS  CAPITAL,Private Company,"Ideation, Validation, EarlyTraction","Agriculture, AI, Green Technology, Finance Technology, Enterprise Software, Internet of Things","Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Bitcoin and Blockchain, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Manufacturing & Warehouse, Others, Smart Home, Wearables","Consumer Internet, Online Aggregator, Platform, SaaS, Subscription Commerce",50 Lacs - 2 Crore INR,"Bengaluru, Karnataka"
REAL TIME ANGEL FUND,Venture Capital,"EarlyTraction, Scaling","AR VR (Augmented + Virtual Reality), Automotive, Computer Vision, AI, Finance Technology, Enterprise Software, Healthcare & Lifesciences, Logistics","Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Others, Machine Learning, NLP, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical","Governments, Hyperlocal, Location Based Services",50 Lacs - 2 Crore INR,"Gurugram, Haryana"
NAVYA SHREE,,"Validation, EarlyTraction, Scaling","Construction, AI, Green Technology, Technology Hardware, Transportation & Storage, Real Estate","Construction & Engineering, Construction Materials, Construction Supplies & Fixtures, Homebuilding, New-age Construction Technologies, Others, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure, Coworking Spaces, Housing,","Governments, Manufacturing, Offline, Subscription Commerce",25 Lacs - 50 Lacs INR,"Bengaluru, Karnataka"
TRANSITION VENTURE CAPITAL,Venture Capital,"Ideation, Validation, EarlyTraction",Renewable Energy,"Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy","Manufacturing, Marketplace",5 Crore + INR,"Bengaluru Urban, Karnataka"
TRANSITION VC,Venture Capital,"Ideation, Validation, EarlyTraction","Green Technology, Non- Renewable Energy","Clean Tech, Others",Others,5 Crore + INR,"Bengaluru Urban, Karnataka"
BHARAT RATNA DR. BABASAHEB MBEDKAR FUND FOR SC/ST,Venture Capital,"EarlyTraction, Scaling","Food & Beverages, Renewable Energy, Healthcare & Lifesciences, Non- Renewable Energy, Biotechnology","Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Oil & Gas Drilling, Oil & Gas Exploration and Production, Oil & Gas Transportation Services, Oil Related Services and Equipment","Engineering, Location Based Services, Manufacturing, Research, SaaS",5 Crore + INR,"Mumbai, Maharashtra"
MAHARASHTRA DEFENCE AND AEROSPACE VENTURE FUND,Venture Capital,"Validation, EarlyTraction, Scaling",Aeronautics Aerospace & Defence,"Aviation & Others, Defence Equipment, Drones, Others, Space Technology","Governments, Manufacturing, Others",5 Crore + INR,"Mumbai, Maharashtra"
MAHARASHTRA INNOVATION AND TECHNOLOGICAL DEVELOPMENT FUND,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling","Analytics, AR VR (Augmented + Virtual Reality), Chemicals, AI, Green Technology, Finance Technology, Education, Technology Hardware, Healthcare & Lifesciences, Nanotechnology, Biotechnology, Waste Management","Big Data, Business Intelligence, Data Science, Others, Others, Agricultural Chemicals, Commodity Chemicals, Diversified Chemicals, Others, Specialty Chemicals, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Coaching, E-learning, Education Technology, Others, Skill Development, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical","Engineering, Location Based Services, Manufacturing",5 Crore + INR,"Mumbai, Maharashtra"
INSTITUTIONAL INVESTOR,Angel Group,EarlyTraction,Analytics,"Big Data, Business Intelligence, Data Science, Others",Governments,0 - 50 Lacs INR,"Baksa, Assam"
KOUSHIK SEKHAR,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling","AR VR (Augmented + Virtual Reality), Computer Vision, Telecommunication & Networking, Aeronautics Aerospace & Defence, AI, Green Technology, Events, Finance Technology, Enterprise Software, Food & Beverages, Education, Renewable Energy, Healthcare & Lifesciences, Internet of Things, Nanotechnology, Media & Entertainment, Retail, Professional & Commercial Services, Social Impact, Logistics, Travel & Tourism, Real Estate, Robotics, Biotechnology","Integrated communication services, Network Technology Solutions, Others, Wireless, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Event Management, Others, Weddings, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Coaching, E-learning, Education Technology, Others, Skill Development, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Others, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Business Support Services, Business Support Supplies, Commercial Printing Services, Employment Services, Environmental Services & Equipment, Others, Professional Information Services, Corporate Social Responsibility, NGO, Others, Others, Experiential Travel, Facility Management, Holiday Rentals, Hospitality, Hotel, Others, Ticketing, Wayside Amenities, Coworking Spaces, Housing, Others, Others, Robotics Application, Robotics Technology","E-commerce, Hyperlocal, Marketplace, Online Aggregator, SaaS",2 Crore - 5 Crore INR,"Chennai, Tamil Nadu"
BLinC INVEST,Venture Capital,"EarlyTraction, Scaling","Finance Technology, Education","Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Coaching, E-learning, Education Technology, Others, Skill Development","Location Based Services, Marketplace, Platform, SaaS, Subscription Commerce",5 Crore + INR,"Mumbai, Maharashtra"
HDFC CAPITAL ADVISORS LIMITED,Private Equity,"Ideation, Validation, EarlyTraction, Scaling",Real Estate,"Coworking Spaces, Housing, Others",SaaS,2 Crore - 5 Crore INR,Delhi
